iter	Passed	Remaining
844	55748	10226
845	55819	10160
846	55888	10095
847	55941	10027
848	56035	9966
849	56093	9898
850	56167	9834
851	56228	9767
852	56306	9703
853	56385	9639
854	56459	9574
855	56516	9507
856	56568	9439
857	56644	9374
858	56709	9308
859	56767	9241
860	56824	9173
861	56875	9105
862	56944	9039
863	57002	8972
864	57085	8909
865	57162	8845
866	57236	8780
867	57292	8712
868	57356	8646
869	57413	8579
870	57485	8513
871	57549	8447
872	57615	8381
873	57679	8315
874	57734	8247
875	57798	8181
876	57871	8116
877	57978	8056
878	58039	7989
879	58094	7921
880	58169	7857
881	58233	7790
882	58307	7725
883	58360	7658
884	58416	7590
885	58473	7523
886	58535	7457
887	58611	7392
888	58668	7325
889	58730	7258
890	58784	7191
891	58812	7120
892	58836	7049
893	58862	6979
894	58888	6908
895	58910	6837
896	58940	6767
897	58963	6697
898	58988	6627
899	59012	6556
900	59037	6486
901	59062	6416
902	59086	6347
903	59110	6277
904	59136	6207
905	59160	6138
906	59185	6068
907	59228	6001
908	59296	5936
909	59387	5873
910	59450	5808
911	59535	5744
912	59603	5679
913	59666	5614
914	59757	5551
915	59841	5487
916	59899	5421
917	59962	5356
918	60040	5291
919	60129	5228
920	60191	5162
921	60248	5096
922	60299	5030
923	60392	4967
924	60466	4902
925	60553	4839
926	60609	4772
927	60696	4709
928	60762	4643
929	60827	4578
930	60901	4513
931	60974	4448
932	61031	4382
933	61117	4318
934	61168	4252
935	61225	4186
936	61291	4120
937	61354	4055
938	61438	3991
939	61499	3925
940	61592	3861
941	61724	3800
942	61782	3734
943	61844	3668
944	61920	3603
945	61987	3538
946	62049	3472
947	62099	3406
948	62158	3340
949	62217	3274
950	62292	3209
951	62416	3147
952	62502	3082
953	62605	3018
954	62666	2952
955	62733	2887
956	62800	2821
957	62871	2756
958	62956	2691
959	63024	2626
960	63085	2560
961	63137	2494
962	63195	2428
963	63259	2362
964	63347	2297
965	63403	2231
966	63468	2165
967	63538	2100
968	63603	2034
969	63670	1969
970	63737	1903
971	63810	1838
972	63860	1772
973	63922	1706
974	63989	1640
975	64040	1574
976	64108	1509
977	64163	1443
978	64218	1377
979	64293	1312
980	64355	1246
981	64414	1180
982	64491	1115
983	64554	1049
984	64621	984
985	64681	918
986	64771	853
987	64837	787
988	64905	721
989	64961	656
990	65019	590
991	65068	524
992	65125	459
993	65180	393
994	65255	327
995	65322	262
996	65386	196
997	65488	131
998	65562	65
999	65629	0
